[01-08-2025 10:54:08] INFO: → POST /api/verifyToken from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:54:25] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:54:25] INFO: → GET /api/images/profile-images/26fbd133-cb82-4197-9e40-3626f3ec28c4.jpg from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:54:29] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:54:37] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:55:17] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:55:21] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:56:39] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:56:41] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 10:56:46] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:33:53] INFO: → POST /api/login/application from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:03] INFO: → POST /api/login/application from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:04] INFO: → POST /api/verifyToken from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:06] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:15] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:40] INFO: → POST /api/profile/upload/image from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:41] INFO: → GET /api/images/profile-images/37442cfe-9262-4601-9d1c-4ce93eca8cec.jpg from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:34:58] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:35:31] INFO: → PUT /api/profile/student/update from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:35:32] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:36:02] INFO: → POST /api/login/application from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:36:03] INFO: → POST /api/verifyToken from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:36:04] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:36:05] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:36:25] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:36:39] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:39:44] INFO: → GET /api-docs/ from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[01-08-2025 11:39:44] INFO: → GET /api-docs/swagger-ui.css from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[01-08-2025 11:39:44] INFO: → GET /api-docs/swagger-ui-init.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[01-08-2025 11:39:44] INFO: → GET /api-docs/swagger-ui-bundle.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[01-08-2025 11:39:44] INFO: → GET /api-docs/swagger-ui-standalone-preset.js from IP ::1 (Unknown) | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[01-08-2025 11:48:43] INFO: → POST /api/login/application from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:48:44] INFO: → POST /api/verifyToken from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:08] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:16] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:17] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:25] INFO: → POST /api/profile/upload/image from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:25] INFO: → GET /api/images/profile-images/195dffb3-6cfa-4702-883e-649d4fefbf5d.jpg from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:40] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:43] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:49:46] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:50:40] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:50:51] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:00] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:06] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:13] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:15] INFO: → PUT /api/profile/student/update from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:19] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:43] INFO: → POST /api/login/application from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:44] INFO: → POST /api/verifyToken from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:45] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:51:46] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:54:13] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:15] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:17] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:26] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:26] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:36] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:36] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:43] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:55:58] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:56:02] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:56:03] INFO: → POST /api/verifyToken from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:56:04] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
[01-08-2025 11:56:04] INFO: → GET /api/profile/data/get from IP 192.168.1.103 (Unknown) | UA: Dart/3.7 (dart:io)
