[04-08-2025 00:08:29] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:08:30] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:08:31] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:08:32] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:09:18] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:09:19] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:09:19] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:09:20] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:09:21] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:26] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:29] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:29] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:51] INFO: → POST /api/login/application from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:52] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:52] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:53] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:53] INFO: → GET /api/images/profile-images/6fb649a3-d5ff-4958-8f28-deb257d17c79.jpg from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:23:54] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:24:01] INFO: → POST /api/timestamp/insert from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:24:51] INFO: → POST /api/verifyToken from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:24:55] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:24:55] INFO: → GET /api/images/profile-images/6fb649a3-d5ff-4958-8f28-deb257d17c79.jpg from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:24:56] INFO: → GET /api/profile/data/get from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
[04-08-2025 00:25:05] INFO: → POST /api/profile/verifypassword from IP 192.168.1.107 (Unknown) | UA: Dart/3.7 (dart:io)
